"carrier_id","date_pulled","cargo_carried"
1000646,"5/26/2023","{SAND,ROCK,GRAVEL}"
100065,"5/26/2023","{""READYMIX CONCRETE""}"
1000652,"5/26/2023",{LIQUIDS/GASES}
1000655,"5/26/2023","{UTILITY,""SERVICE TOOLS""}"
1000670,"5/26/2023","{""GENERAL FREIGHT"",""FRESH PRODUCE"",MEAT,""REFRIGERATED FOOD""}"
1000672,"5/26/2023","{MACHINERY,""LARGE OBJECTS"",CONSTRUCTION}"
1000674,"5/26/2023","{""MOTOR VEHICLES"",""DRIVE AWAY/TOWAWAY"",MACHINERY,""LARGE OBJECTS""}"
1000677,"5/26/2023","{""GENERAL FREIGHT"",""HOUSEHOLD GOODS""}"
1000680,"5/26/2023","{DIRT,SAND,STONE}"
1000681,"5/26/2023","{MACHINERY,""LARGE OBJECTS""}"
1000702,"5/26/2023",{SEWAGE}
1000703,"5/26/2023","{""COMMODITIES DRY BULK""}"
1000706,"5/26/2023","{""GENERAL FREIGHT"",CONSTRUCTION}"
1000708,"5/26/2023","{""BUILDING MATERIALS"",CONSTRUCTION}"
1000709,"5/26/2023","{""BUILDING MATERIALS"",UTILITY}"
1000712,"5/26/2023",{CONSTRUCTION}
1000713,"5/26/2023",{AUTOMOBILES}
1000715,"5/26/2023","{""GENERAL FREIGHT"",""FLAT BED PRODUCTS""}"
1000716,"5/26/2023","{""GENERAL FREIGHT""}"
1000718,"5/26/2023","{""TRANSPORTATION SAND"",GRAVEL,DIRT}"
1000719,"5/26/2023","{""MOTOR VEHICLES""}"
1000720,"5/26/2023","{MACHINERY,""LARGE OBJECTS"",""COMMODITIES DRY BULK"",""SAND & GRAVEL""}"
1000722,"5/26/2023","{""MOTOR VEHICLES""}"
1000723,"5/26/2023","{""GENERAL FREIGHT""}"
1000727,"5/26/2023","{""GENERAL FREIGHT"",""BUILDING MATERIALS"",MACHINERY,""LARGE OBJECTS"",""OIL FIELD EQUIPMENT""}"
1000728,"5/26/2023","{""MOTOR VEHICLES"",""DRIVE AWAY/TOWAWAY""}"
100073,"5/26/2023",{}
1000732,"5/26/2023",{SIGNS}
